Foto;Titol;Text_cat;Titulo;Text_esp;;;
primitiva.jpg;L'església primitiva;"L'any 1620, don Pau Sureda i Campfullós, senyor de l'alqueria de Sant Martí, obtingué permís per crear un nucli de població a les seves terres de Son Pere Jaume, en el terme municipal de Petra, origen de l'actual Vilafranca de Bonany. Aquell mateix any s'hi inicià la construcció de la primera església, d'estil renaixentista. Va ser dedicada a santa Bàrbara i sant Martí, els sants patrons de la família Sureda, i depenia de la parròquia de Petra. Aquest primer temple tenia un altar major i quatre altars laterals, dos a cada costat, i es creu que ocupava el solar dels dos primers trams de l'església actual. La primera missa s'hi digué el dia de santa Bàrbara, 4 de desembre, de 1631.//  La seva construcció va sofrir una forta oposició dels petrencs, que estaven construint una església nova a Petra i volien evitar que es desviassin recursos cap a la de Vilafranca. La major part de la despesa de la construcció la pagà la família Sureda. Els vilafranquers, a banda de la mà d'obra, aportaren els diners de la venda dels animals que trobaven perduts pel camp, de la qual cosa els Jurats de Petra se n'exclamaven: “lo cual mos pareix meravella i cosa nova may usada.”//  Els primers anys venia un capellà de Petra a celebrar els actes de culte, fins que l'any 1685 s'hi instituí una vicaria, dependent de la parròquia de Petra; aquesta vicaria es mantingué fins que Vilafranca es convertí en parròquia independent l'any 1913. El dia de sant Agustí, 28 d'agost, del 1685 es diposità a l'església per primer cop el Santíssim Sagrament, portat en processó des de Petra, i des de llavors es recordà aquesta efemèride celebrant l'anomenada festa de la Reserva; aquesta va ser la festa grossa de l'estiu a la vila fins que, durant la segona meitat del segle XX, va ser substituïda a poc a poc per les festes de la Beata, al voltant del 28 de juliol.";La iglesia primitiva;"En el año 1620, don Pablo Sureda i Campfullós, señor de la alquería de Sant Martí, obtuvo permiso para crear un núcleo de población en sus tierras de Son Pere Jaume, en el término municipal de Petra, origen de la actual Vilafranca de Bonany. Ese mismo año comenzó la construcción de la primera iglesia, de estilo renacentista. Fue dedicada a santa Bárbara y san Martín, los santos patronos de la familia Sureda. Este primer templo tenía un altar mayor y cuatro altares laterales, dos a cada lado, y se cree que ocupaba el solar de los dos primeros tramos de la iglesia actual. La primera misa se celebró el día de santa Bárbara, 4 de diciembre, de 1631.//  Su construcción encontró una fuerte oposición por parte de los habitantes de Petra, ya que estaban construyendo una iglesia nueva en Petra y querían evitar que se desviaran recursos hacia la de Vilafranca. La mayor parte del coste de la construcción fue sufragada por la familia Sureda. Los vecinos de Vilafranca, además de aportar la mano de obra, contribuyeron con el dinero obtenido de la venta de los animales que encontraban perdidos por el campo, hecho del que los Jurados de Petra se lamentaban diciendo: “*lo cual mos pareix meravella i cosa nova may usada*.”//  Durante los primeros años acudía un sacerdote desde Petra para celebrar los actos de culto, hasta que en 1685 se instituyó una vicaría dependiente de la parroquia de Petra; esta vicaría se mantuvo hasta que Vilafranca se convirtió en parroquia independiente en 1913. El día de san Agustín, 28 de agosto, de 1685, se depositó por primera vez en la iglesia el Santísimo Sacramento, llevado en procesión desde Petra, y desde entonces se conmemoró este acontecimiento celebrando la llamada fiesta de la Reserva; esta fue la principal fiesta del verano en Vilafranca hasta que, durante la segunda mitad del siglo XX, fue sustituida poco a poco por las fiestas de la Beata, en torno al 28 de julio.";;;
antiga.jpg;L'església antiga;"Amb el creixement de la població de Vilafranca, el temple es va anar quedant petit. Cap a l'any 1700 es començà la construcció d'una església més gran a partir de la primera. El nou temple es construí en estil barroc i amb l'estructura de moltes de les esglésies mallorquines del segle XVII: una nau única coberta amb una volta de canó, capelles als dos costats de la nau i una rosassa a la façana principal. L'església feia 35 m de llarg, 17 m d'ample i 16 m d'alçada, i tenia cinc capelles a cada costat i dos portals: el principal, o “de les dones”, i el lateral, o “dels homes”. El buc de l'església s'acabà l'any 1738, i la façana el 1741.//  Un dels principals impulsors de l'església nova va ser el canonge Domingo Sureda, fill del senyor de Sant Martí i que arribà a rector de la Universitat Luliana i Vicari General de la diòcesi. Entre altres coses, donà a l'església de Vilafranca una relíquia de la Vera Creu que arrabassà de la que es conserva a la Seu.//  Al voltant del 1775 s'encarregaren el retaule major i el sagrari monumental a l'escultor Mateu Colom, assessorat per Jeroni Bestard, amic del marquès de Sant Martí i artista de gran prestigi a Mallorca. Bestard volia que el retaule fos neoclàssic, però Colom el construí barroc, que encara era la moda. A Bestard no li agradà i arran d'una visita comentà: “tuve el desconsuelo de verlo alborotado por las quiméricas ideas del artífice que lo construyó”. El retaule de Colom és la part central de l'actual retaule major.//  Naturalment, com en tota casa, les obres continuaren més enllà de l'acabament de l'obra principal. Així, per exemple://  * l'any 1802 es col·locà la rosassa de vidre, que s'hagué de reconstruir poc després, perquè l'any 1804 va ser destrossada per un llamp;//  * entre 1803 i 1804 es construiren els cancells dels dos portals;//  * entre el 1817 i el 1842 es construí el campanar: l'antic campanar eren les dues finestres tapiades que hi ha a l'angle superior esquerre de la façana principal;//  * el 1907 es rebaixà el paviment uns 60 cm i es reformà el baptisteri, substituint la pila baptismal del 1685 per una de nova i obrint-hi una obertura.";La iglesia antigua;"Con el crecimiento de la población de Vilafranca, el templo fue quedándose pequeño. Hacia el año 1700 comenzó la construcción de una iglesia más grande a partir de la primera. El nuevo templo se construyó en estilo barroco y con la estructura de muchas iglesias mallorquinas del siglo XVII: una nave única cubierta con bóveda de cañón, capillas a ambos lados de la nave y un rosetón en la fachada principal. La iglesia medía 35 m de largo, 17 m de ancho y 16 m de altura, con cinco capillas a cada lado y dos portales: el principal, o “de las mujeres”, y el lateral, o “de los hombres”. El cuerpo de la iglesia se terminó en 1738, y la fachada en 1741.//  Uno de los principales impulsores de la nueva iglesia fue el canónigo Domingo Sureda, hijo del señor de Sant Martí, que llegó a ser rector de la Universidad Luliana y Vicario General de la diócesis. Entre otras cosas, donó a la iglesia de Vilafranca una reliquia de la Vera Cruz que arrancó de la que se conserva en la Seu.//  Hacia el 1775 se encargaron el retablo mayor y el sagrario monumental al escultor Mateu Colom, asesorado por Jeroni Bestard, amigo del marqués de Sant Martí y artista de gran prestigio en Mallorca. Bestard quería que el retablo fuera neoclásico, pero Colom lo construyó barroco, que aún era el estilo de moda. A Bestard no le gustó y, tras una visita, comentó: “tuve el desconsuelo de verlo alborotado por las quiméricas ideas del artífice que lo construyó”. El retablo de Colom constituye la parte central del actual retablo mayor.//  Naturalmente, como ocurre en toda casa, las obras continuaron más allá de la finalización de la principal. Así, por ejemplo://  * en 1802 se colocó el rosetón de vidrio, que hubo de reconstruirse poco después porque en 1804 fue destruido por un rayo;//  * entre 1803 y 1804 se construyeron los canceles de los dos portales;//  * entre 1817 y 1842 se construyó el campanario: el antiguo campanario eran las dos ventanas tapiadas que hay en el ángulo superior izquierdo de la fachada principal;//  * en 1907 se rebajó el pavimento unos 60 cm y se reformó el baptisterio, sustituyendo la pila bautismal de 1685 por una nueva y abriendo un vano.";;;
moderna.jpg;L'església nova;"L'any 1935, el dia del 250è aniversari de la Reserva, començaren les obres d'ampliació del temple que donaren lloc a l'actual. S'hi afegiren l’absis i el creuer amb una cúpula central i quatre cúpules més petites, i es feren les obertures de la nau per als vitralls. La longitud final del temple arribà als actuals 50 m; la cúpula central s'alça fins als 28 m sobre el trespol. Les obres a la nau acabaren l'any 1941, però les cúpules petites no s'acabaren d'enllestir fins al 1974. El projecte va ser de l'arquitecte Guillem Muntaner i Vanrell.// Les obres es desenvoluparen en unes circumstàncies especialment difícils, entre la Segona República i la Guerra Civil, i només s'interromperen temporalment durant els dies del desembarcament republicà del capità Bayo a Mallorca, l'any 1936. Malgrat això, l'ampliació es dugué a terme gràcies a la participació voluntària de gran part dels veïns de Vilafranca, que la convertiren en una autèntica obra col·lectiva del poble.//  L'any 1942 s'instal·là sobre la cúpula del creuer l'escultura del Sagrat Cor de Jesús que caracteritza la silueta actual del temple. Va ser obra de l’escultor Miquel Vadell, ajudat pel mestre d'obres local Joan Bauzà Font. Fa 6 m d'alçada, comptant la peanya, i és de ciment portland armat. Poc després s'amplià el retaule del presbiteri, que quedava petit a l'absis nou, afegint-li un cos més a cada costat. L'autor de l'ampliació del retaule va ser l'escultor Bartomeu Amorós. L'altar major nou es va estrenar per la festa de la Reserva del 1947.";La iglesia nueva;"En 1935, el día del 250 aniversario de la Reserva, comenzaron las obras de ampliación del templo que dieron lugar al actual. Se añadieron el ábside y el crucero con una cúpula central y cuatro cúpulas más pequeñas, y se abrieron los vanos de la nave. La longitud final del templo alcanzó los actuales 50 m; la cúpula central se eleva hasta los 28 m sobre el pavimento. Las obras de la nave concluyeron en 1941, aunque las cúpulas pequeñas no quedaron completamente terminadas hasta 1974. El proyecto fue obra del arquitecto Guillem Muntaner i Vanrell.//  Las obras de la nave se desarrollaron en unas circunstancias especialmente difíciles, entre la Segunda República y la Guerra Civil, y solo se interrumpieron temporalmente durante los días del desembarco republicano del capitán Bayo en 1936. A pesar de ello, la ampliación pudo llevarse a cabo gracias a la participación voluntaria de gran parte de los vecinos de Vilafranca, que la convirtieron en una auténtica obra colectiva del pueblo.//  En 1942 se instaló sobre la cúpula del crucero la escultura del Sagrado Corazón de Jesús que caracteriza la silueta actual del templo. Fue obra del escultor Miquel Vadell, con la ayuda del maestro de obras local Joan Bauzà Font. Mide 6 m de altura incluyendo el pedestal y está realizada en cemento Portland armado. Poco después se amplió el retablo del presbiterio, que había quedado pequeño para el nuevo ábside, añadiéndole un cuerpo más a cada lado. El autor de esta ampliación fue el escultor Bartomeu Amorós. El nuevo altar mayor se estrenó con motivo de la fiesta de la Reserva de 1947.";;;
